"Case","Condition","Response","Response_Text"
1.0,"High Power",1,"Egocentric"
2.0,"High Power",1,"Egocentric"
3.0,"High Power",1,"Egocentric"
4.0,"High Power",1,"Egocentric"
5.0,"High Power",1,"Egocentric"
6.0,"High Power",1,"Egocentric"
7.0,"High Power",1,"Egocentric"
8.0,"High Power",1,"Egocentric"
9.0,"High Power",1,"Egocentric"
10.0,"High Power",1,"Egocentric"
11.0,"High Power",1,"Egocentric"
12.0,"High Power",1,"Egocentric"
13.0,"High Power",1,"Egocentric"
14.0,"High Power",1,"Egocentric"
15.0,"High Power",1,"Egocentric"
16.0,"High Power",1,"Egocentric"
17.0,"High Power",1,"Egocentric"
18.0,"High Power",0,"Non-Ego-Centric"
19.0,"High Power",0,"Non-Ego-Centric"
20.0,"High Power",0,"Non-Ego-Centric"
21.0,"High Power",0,"Non-Ego-Centric"
22.0,"High Power",0,"Non-Ego-Centric"
23.0,"High Power",0,"Non-Ego-Centric"
24.0,"High Power",0,"Non-Ego-Centric"
25.0,"High Power",0,"Non-Ego-Centric"
26.0,"High Power",0,"Non-Ego-Centric"
27.0,"High Power",0,"Non-Ego-Centric"
28.0,"High Power",0,"Non-Ego-Centric"
29.0,"High Power",0,"Non-Ego-Centric"
30.0,"High Power",0,"Non-Ego-Centric"
31.0,"High Power",0,"Non-Ego-Centric"
32.0,"High Power",0,"Non-Ego-Centric"
33.0,"High Power",0,"Non-Ego-Centric"
34.0,"High Power",0,"Non-Ego-Centric"
35.0,"High Power",0,"Non-Ego-Centric"
36.0,"High Power",0,"Non-Ego-Centric"
37.0,"High Power",0,"Non-Ego-Centric"
38.0,"High Power",0,"Non-Ego-Centric"
39.0,"High Power",0,"Non-Ego-Centric"
40.0,"High Power",0,"Non-Ego-Centric"
41.0,"High Power",0,"Non-Ego-Centric"
42.0,"High Power",0,"Non-Ego-Centric"
43.0,"High Power",0,"Non-Ego-Centric"
44.0,"High Power",0,"Non-Ego-Centric"
45.0,"High Power",0,"Non-Ego-Centric"
46.0,"High Power",0,"Non-Ego-Centric"
47.0,"High Power",0,"Non-Ego-Centric"
48.0,"High Power",0,"Non-Ego-Centric"
49.0,"High Power",0,"Non-Ego-Centric"
50.0,"High Power",0,"Non-Ego-Centric"
51.0,"High Power",0,"Non-Ego-Centric"
52.0,"High Power",0,"Non-Ego-Centric"
53.0,"High Power",0,"Non-Ego-Centric"
54.0,"High Power",0,"Non-Ego-Centric"
55.0,"High Power",0,"Non-Ego-Centric"
56.0,"High Power",0,"Non-Ego-Centric"
57.0,"High Power",0,"Non-Ego-Centric"
58.0,"High Power",0,"Non-Ego-Centric"
59.0,"High Power",0,"Non-Ego-Centric"
60.0,"High Power",0,"Non-Ego-Centric"
61.0,"High Power",0,"Non-Ego-Centric"
62.0,"High Power",0,"Non-Ego-Centric"
63.0,"High Power",0,"Non-Ego-Centric"
64.0,"High Power",0,"Non-Ego-Centric"
65.0,"High Power",0,"Non-Ego-Centric"
66.0,"High Power",0,"Non-Ego-Centric"
67.0,"High Power",0,"Non-Ego-Centric"
68.0,"High Power",0,"Non-Ego-Centric"
69.0,"High Power",0,"Non-Ego-Centric"
70.0,"High Power",0,"Non-Ego-Centric"
71.0,"High Power",0,"Non-Ego-Centric"
72.0,"High Power",0,"Non-Ego-Centric"
73.0,"High Power",0,"Non-Ego-Centric"
74.0,"High Power",0,"Non-Ego-Centric"
75.0,"High Power",0,"Non-Ego-Centric"
76.0,"High Power",0,"Non-Ego-Centric"
77.0,"High Power",0,"Non-Ego-Centric"
78.0,"High Power",0,"Non-Ego-Centric"
79.0,"High Power",0,"Non-Ego-Centric"
80.0,"High Power",0,"Non-Ego-Centric"
1.0,"Low Power",1,"Egocentric"
2.0,"Low Power",1,"Egocentric"
3.0,"Low Power",1,"Egocentric"
4.0,"Low Power",1,"Egocentric"
5.0,"Low Power",1,"Egocentric"
6.0,"Low Power",1,"Egocentric"
7.0,"Low Power",1,"Egocentric"
8.0,"Low Power",1,"Egocentric"
9.0,"Low Power",1,"Egocentric"
10.0,"Low Power",1,"Egocentric"
11.0,"Low Power",1,"Egocentric"
12.0,"Low Power",1,"Egocentric"
13.0,"Low Power",1,"Egocentric"
14.0,"Low Power",1,"Egocentric"
15.0,"Low Power",1,"Egocentric"
16.0,"Low Power",1,"Egocentric"
17.0,"Low Power",1,"Egocentric"
18.0,"Low Power",1,"Egocentric"
19.0,"Low Power",1,"Egocentric"
20.0,"Low Power",0,"Non-Ego-Centric"
21.0,"Low Power",0,"Non-Ego-Centric"
22.0,"Low Power",0,"Non-Ego-Centric"
23.0,"Low Power",0,"Non-Ego-Centric"
24.0,"Low Power",0,"Non-Ego-Centric"
25.0,"Low Power",0,"Non-Ego-Centric"
26.0,"Low Power",0,"Non-Ego-Centric"
27.0,"Low Power",0,"Non-Ego-Centric"
28.0,"Low Power",0,"Non-Ego-Centric"
29.0,"Low Power",0,"Non-Ego-Centric"
30.0,"Low Power",0,"Non-Ego-Centric"
31.0,"Low Power",0,"Non-Ego-Centric"
32.0,"Low Power",0,"Non-Ego-Centric"
33.0,"Low Power",0,"Non-Ego-Centric"
34.0,"Low Power",0,"Non-Ego-Centric"
35.0,"Low Power",0,"Non-Ego-Centric"
36.0,"Low Power",0,"Non-Ego-Centric"
37.0,"Low Power",0,"Non-Ego-Centric"
38.0,"Low Power",0,"Non-Ego-Centric"
39.0,"Low Power",0,"Non-Ego-Centric"
40.0,"Low Power",0,"Non-Ego-Centric"
41.0,"Low Power",0,"Non-Ego-Centric"
42.0,"Low Power",0,"Non-Ego-Centric"
43.0,"Low Power",0,"Non-Ego-Centric"
44.0,"Low Power",0,"Non-Ego-Centric"
45.0,"Low Power",0,"Non-Ego-Centric"
46.0,"Low Power",0,"Non-Ego-Centric"
47.0,"Low Power",0,"Non-Ego-Centric"
48.0,"Low Power",0,"Non-Ego-Centric"
49.0,"Low Power",0,"Non-Ego-Centric"
50.0,"Low Power",0,"Non-Ego-Centric"
51.0,"Low Power",0,"Non-Ego-Centric"
52.0,"Low Power",0,"Non-Ego-Centric"
53.0,"Low Power",0,"Non-Ego-Centric"
54.0,"Low Power",0,"Non-Ego-Centric"
55.0,"Low Power",0,"Non-Ego-Centric"
56.0,"Low Power",0,"Non-Ego-Centric"
57.0,"Low Power",0,"Non-Ego-Centric"
58.0,"Low Power",0,"Non-Ego-Centric"
59.0,"Low Power",0,"Non-Ego-Centric"
60.0,"Low Power",0,"Non-Ego-Centric"
61.0,"Low Power",0,"Non-Ego-Centric"
62.0,"Low Power",0,"Non-Ego-Centric"
63.0,"Low Power",0,"Non-Ego-Centric"
64.0,"Low Power",0,"Non-Ego-Centric"
65.0,"Low Power",0,"Non-Ego-Centric"
66.0,"Low Power",0,"Non-Ego-Centric"
67.0,"Low Power",0,"Non-Ego-Centric"
68.0,"Low Power",0,"Non-Ego-Centric"
69.0,"Low Power",0,"Non-Ego-Centric"
70.0,"Low Power",0,"Non-Ego-Centric"
71.0,"Low Power",0,"Non-Ego-Centric"
